DATE,FUNC_BEFORE,FUNC_NOW,FUNC_IDENTICAL,FUNC_ADDED,FUNC_REMOVED,FUNC_PERC_ADD_REM,FUNC_MEDIAN_PERC_LOC_CHG
1999-02-02,1062,1342,602,740,460,112,1.85
1999-05-27,1342,1723,1132,591,210,59,0.98
1999-08-07,1723,1895,1442,453,281,42,0.00
2000-01-16,1895,2239,1668,571,227,42,3.70
2000-06-07,2239,2228,1584,644,655,58,3.94
2000-09-15,2228,2309,1885,424,343,34,0.63
2001-05-29,2309,2548,2266,282,43,14,13.33
2001-12-04,2548,2348,2102,246,446,27,1.64
2002-01-04,2348,2396,2014,382,334,30,2.56
2002-03-26,2396,2451,2232,219,164,15,3.16
2002-08-13,2451,2382,2238,144,213,14,3.34
2002-12-18,2382,2556,2193,363,189,23,4.76
2003-03-10,2556,2733,2438,295,118,16,3.24
2003-04-24,2733,2756,2258,498,475,35,4.36
2003-09-23,2756,2826,2637,189,119,11,2.64
2003-12-29,2826,2876,2566,310,260,20,2.41
2004-04-20,2876,2996,2761,235,115,12,1.43
2004-08-28,2996,3097,2961,136,35,5,4.17
2004-12-08,3097,3345,2949,396,148,17,13.89
2005-03-16,3345,3531,3222,309,123,12,4.76
2005-05-28,3531,3669,3441,228,90,9,4.65
2005-08-03,3669,3767,3579,188,90,7,3.08
2005-10-13,3767,3983,3651,332,116,11,3.70
2005-12-15,3983,4074,3867,207,116,8,3.12
2006-04-04,4074,4147,3996,151,78,5,4.74
2006-08-24,4147,4069,3947,122,200,7,4.76
2007-01-10,4069,4172,3923,249,146,9,3.03
2007-07-18,4172,4154,4001,153,171,7,2.44
2007-11-13,4154,4313,3970,343,184,12,2.27
2008-07-19,4313,4624,4269,355,44,9,2.78
2009-02-10,4624,4895,4518,377,106,10,2.29
2009-08-17,4895,4967,4850,117,45,3,4.59
2010-08-10,4967,4824,4627,197,340,10,2.95
2011-03-16,4824,4937,4762,175,62,4,2.70
2012-08-22,4937,5268,4893,375,44,8,2.41
